data_counter,unix_time,year,month,day,hour,minute,second,timezone,volume,Harris,Biden,Cortez,Buttigieg,Cuomo,Yang,Warren,Sanders,Clinton,Newsom,Kennedy
1,1712082663,2024,4,3,2,31,3,PST,1230227,0.02,,,,,,,,,,
2,1712082903,2024,4,3,2,35,3,PST,9367144,0.02,0.88,,,,,,,,0.04,
