data_counter,unix_time,year,month,day,hour,minute,second,timezone,volume,Harris,Biden,Cortez,Buttigieg,Cuomo,Yang,Warren,Sanders,Clinton,Newsom,Kennedy
1,1712082663,2024,4,3,2,31,3,PST,11876896,0.0261,0.8741,0.0005,0.0016,0.0005,0.0005,0.007,0.0005,0.0052,0.029,0.0059
2,1712082903,2024,4,3,2,35,3,PST,20013813,0.0261,0.8761,0.0005,0.0016,0.0005,0.0005,0.007,0.0005,0.0052,0.0327,0.0059
