data_counter,unix_time,year,month,day,hour,minute,second,timezone,volume,DEM,REP
1,1716637872,2024,5,25,19,51,12,PST,511982,0.2651,0.7338
2,1716638023,2024,5,25,19,53,43,PST,511982,0.2654,0.7346
