data_counter,unix_time,year,month,day,hour,minute,second,timezone,volume,Harris,Biden,Cortez,Buttigieg,Cuomo,Yang,Warren,Sanders,Clinton,Newsom,Kennedy
1,1712082663,2024,4,3,2,31,3,PST,11876896,0.0273,0.8583,0.0005,0.0017,0.0005,0.0005,0.0066,0.0005,0.0054,0.0288,0.0077
2,1712082903,2024,4,3,2,35,3,PST,20013813,0.0243,0.8684,0.0005,0.0017,0.0005,0.0005,0.0066,0.0005,0.0054,0.0341,0.0077
