data_counter,unix_time,year,month,day,hour,minute,second,timezone,volume,Harris,Biden,Cortez,Buttigieg,Cuomo,Yang,Warren,Sanders,Clinton,Newsom,Kennedy
1,1712082547,2024,4,3,2,29,7,PST,964771,0.0303,0.8935,0.0005,0.0015,0.0005,0.0005,0.0075,0.0005,0.005,0.0292,0.0036
1,1712082570,2024,4,3,2,29,30,PST,964771,0.0303,0.8935,0.0005,0.0015,0.0005,0.0005,0.0075,0.0005,0.005,0.0292,0.0036
1,1712082663,2024,4,3,2,31,3,PST,964771,0.0303,0.8935,0.0005,0.0015,0.0005,0.0005,0.0075,0.0005,0.005,0.0292,0.0036
2,1712082903,2024,4,3,2,35,3,PST,964771,0.0303,0.8935,0.0005,0.0015,0.0005,0.0005,0.0075,0.0005,0.005,0.0292,0.0036
