data_counter,unix_time,year,month,day,hour,minute,second,timezone,volume,DEM,REP
1,1712081839,2024,4,3,2,17,19,PST,40003,0.4834,0.4916
1,1716554101,2024,5,24,20,35,1,PST,41430,0.4491,0.528
