data_counter,unix_time,year,month,day,hour,minute,second,timezone,volume,DEM,REP
1,1712081839,2024,4,3,2,17,19,PST,461129,0.4878,0.4878
1,1716554101,2024,5,24,20,35,1,PST,535812,0.4445,0.5305
